#,Group,PN,SN,Born_on_Aircraft,1_Date_of_First_Installation,2_Hours_at_First_Install,2_Cycles_at_First_Install,3_Overhaul_History,4_Repair_History,5_Modification_Status_SBs,6_Last_Parts_Certificate,7_TSN_at_Last_Shop_Visit,8_Accrued_Since_Last_Overhaul,9_Current_Part_Total_Time,10_Remaining_to_Overhaul_or_Scrap,11_Part_Identity,n_Form1s_found_in_dossier,n_install_events_in_dossier,evidence_source_files
22,B,54303-6C35,M3833,No,6134-20-05,182:50,Unknown,NIL,25/Oct/2019 (cert RN125911),NIL,"RN125911 (25/Oct/2019, easa_form_one)",Unknown (read from cert / techlog at shop visit date),N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 54303-6C35 | SN: M3833 | Desc: STALL PROTECTION COMPUTER | Pos: Unknown | Cat: Unknown,1,1,"190228_HB-JTZ_AVIONIC_LIST_REV1.pdf, 190803_HB-JTZ_AVIONIC_RADIO LIST.pdf, 211101_HB-JTZ_SOFTWARE_DESIGN.pdf, CL650-6134_bo1_bi2_2020-02-19-2866_6134-20-05_06-Mar-2020.pdf, SOFTWARE DESIGN.pdf"
23,B,60-1321-1,26558,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 60-1321-1 | SN: 26558 | Desc: UNIT, POWER SUPPLY, EMERGENCY | Pos: COCKPIT/EMERGENCY LIGHT | Cat: LLP",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, 190225_HB-JTZ_CALENDAR.pdf, ATA CHAPTERS.pdf, CALENDAR.pdf, D-TR61345000 REV. NC.pdf"
24,C,031-614-0,8065S00381,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 031-614-0 | SN: 8065S00381 | Desc: TIRE (dup of #10) | Pos: Unknown | Cat: Unknown,1,0,CL650-6134_bo2_bi7_CL65HBJTZ015MX_6134-21-13_16-Jul-2021.pdf
25,C,024657-000,8905200213796,Yes,2021-12-09,0:00,0, (cert CR0000041998); 16 FEB 2022 (cert ER0000039462),NIL,NIL,"ER0000039462 (16 FEB 2022, easa_form_one)",Unknown (read from cert / techlog at shop visit date),From last overhaul date to now: compute from techlog,Unknown — sum of install→removal arcs needed,N/A,"PN: 024657-000 (alt: 24637-000) | SN: 8905200213796 | Desc: BATTERY, MAIN, MODEL 1756-3 | Pos: NOSE AVIONIC BAY | Cat: Unknown",2,2,"190220_HB-JTZ_PART_NUMBERS.pdf, CL650-6134_bo1_bi1_2019-08-23-2227_6134-19-08_28-Aug-2019.pdf, CL650-6134_bo2_bi10_247470 1 of 2_96560_19-Feb-2022.pdf, CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf"
26,C,024453-000,090520021095E,Yes,2021-12-09,0:00,0, (cert CR0000041997); 11 AUG 2022 (cert ER000041997); 16 FEB 2022 (cert ER0000039463),NIL,NIL,"ER0000039463 (16 FEB 2022, easa_form_one)",Unknown (read from cert / techlog at shop visit date),From last overhaul date to now: compute from techlog,Unknown — sum of install→removal arcs needed,N/A,"PN: 024453-000 | SN: 090520021095E | Desc: BATTERY, APU, MODEL 40178-24 | Pos: APU BATTERY | Cat: Unknown",3,2,"190220_HB-JTZ_PART_NUMBERS.pdf, CL650-6134_bo1_bi1_2019-08-23-2227_6134-19-08_28-Aug-2019.pdf, CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf, CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf"
27,C,024453-000,090520021095E,Yes,2021-12-09,0:00,0, (cert CR0000041997); 11 AUG 2022 (cert ER000041997); 16 FEB 2022 (cert ER0000039463),NIL,NIL,"ER0000039463 (16 FEB 2022, easa_form_one)",Unknown (read from cert / techlog at shop visit date),From last overhaul date to now: compute from techlog,Unknown — sum of install→removal arcs needed,N/A,"PN: 024453-000 | SN: 090520021095E | Desc: BATTERY, APU, MODEL 40178-24 | Pos: APU BATTERY | Cat: Unknown",3,2,"190220_HB-JTZ_PART_NUMBERS.pdf, CL650-6134_bo1_bi1_2019-08-23-2227_6134-19-08_28-Aug-2019.pdf, CL650-6134_bo3_bi11_247470 2 of 2_96560_19-Feb-2022.pdf, CL650-6134_bo3_bi12_21563_21729_69111Rev.1_18-Oct-2022.pdf"
28,C,1756-3,0905200213796,No,GAP_IN_DOSSIER,GAP,GAP,NIL,NIL,NIL,"9123/2020 (, easa_form_one)",Unknown (read from cert / techlog at shop visit date),N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 1756-3 | SN: 0905200213796 | Desc: MAIN NICAD BATTERY (Saft) — variant 3 | Pos: Unknown | Cat: Unknown,2,0,"CL650-6134_bo1_bi2_MO77897_6134-20-01_13-Mar-2020.pdf, CL650-6134_bo2_bi8_CL65HBJTZ017MX_6134-21-15_10-Sep-2021.pdf"
29,C,C16786MA01,C16786026816,Yes,2021-12-09,0:00,0,NIL,NIL,NIL,Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: C16786MA01 | SN: C16786026816 | Desc: INSTRUMENT, INTEGRATED STANDBY | Pos: AVIONICS BAY ISI | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, 190228_HB-JTZ_AVIONIC_LIST_REV1.pdf, 190803_HB-JTZ_AVIONIC_RADIO LIST.pdf, 211101_HB-JTZ_SOFTWARE_DESIGN.pdf, ATA CHAPTERS.pdf"
30,C,MS20995F32,3158,No,6134-20-04,182:50,Unknown,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: MS20995F32 | SN: 3158 | Desc: LOCKWIRE [REVISED: consumable; not a Component] | Pos: Unknown | Cat: Unknown,0,1,"CL650-6134_bo1_bi2_2020-01-24-2790_6134-20-04_07-Feb-2020.pdf, CL650-6134_bo1_bi4_182684 1 of 2_6134-21-01_02-Mar-2021.pdf"
31,C,600-59199-9,DT6325N,No,6134-20-05,182:50,Unknown,NIL,NIL,NIL,GAP_IN_DOSSIER,GAP,N/A,Unknown — sum of install→removal arcs needed,N/A,PN: 600-59199-9 | SN: DT6325N | Desc: LATERAL ACCELEROMETER (dup of #20) | Pos: Unknown | Cat: Unknown,0,1,CL650-6134_bo1_bi2_2020-02-19-2866_6134-20-05_06-Mar-2020.pdf
32,C,2100-2245-22,001279641,Yes,2021-12-09,0:00,0,NIL,NIL,"9,13,17,",Birth Form 1 — OEM serialisation listing,N/A — never been to shop,N/A — never overhauled,609:35,N/A,"PN: 2100-2245-22 | SN: 001279641 | Desc: RECORDER, FLIGHT DATA | Pos: FLIGHT DATA RECORDER AFT FS770 | Cat: Unknown",0,0,"190220_HB-JTZ_PART_NUMBERS.pdf, 190803_HB-JTZ_AVIONIC_RADIO LIST.pdf, 211101_HB-JTZ_SOFTWARE_DESIGN.pdf, ATA CHAPTERS.pdf, PART NUMBERS.pdf"
